epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.578,1.13773,1.06441,1.28144,0.85102,0.81383,0.83106,0.58398,1.09108,0.55053,1.21416,0.00333109,0.00333109,0.00333109
2,1049.72,1.08014,0.67491,1.21379,0.81145,0.80202,0.83133,0.5846,1.08958,0.57239,1.24301,0.00659845,0.00659845,0.00659845
3,1588.09,1.10718,0.70586,1.23942,0.75537,0.72636,0.75818,0.52636,1.09788,0.63703,1.26121,0.0097998,0.0097998,0.0097998
4,2114.8,1.11203,0.71415,1.25669,0.79354,0.79519,0.85437,0.60962,1.0752,0.54217,1.23054,0.009703,0.009703,0.009703
5,2652.18,1.07847,0.65024,1.23557,0.88066,0.82541,0.84988,0.61151,1.04707,0.51346,1.21534,0.009604,0.009604,0.009604
6,3215.92,1.05062,0.61491,1.21987,0.80666,0.86062,0.85644,0.61614,1.04351,0.50729,1.23567,0.009505,0.009505,0.009505
7,3797.73,1.03632,0.58977,1.21276,0.87973,0.83358,0.87452,0.63096,1.03494,0.47858,1.21149,0.009406,0.009406,0.009406
8,4335.28,1.02099,0.57323,1.20632,0.85733,0.83836,0.86629,0.63747,1.02559,0.4746,1.21495,0.009307,0.009307,0.009307
9,4871.43,1.00649,0.55449,1.19752,0.84791,0.86087,0.86548,0.63043,1.01008,0.45623,1.19789,0.009208,0.009208,0.009208
10,5424.46,0.99356,0.53797,1.18419,0.89531,0.85672,0.89042,0.65432,0.99871,0.4505,1.18652,0.009109,0.009109,0.009109
11,5950.4,0.98644,0.53241,1.18597,0.87533,0.85756,0.88918,0.66113,0.99912,0.44873,1.19279,0.00901,0.00901,0.00901
12,6438.02,0.97932,0.52165,1.17933,0.86762,0.86229,0.91044,0.67241,0.99152,0.43068,1.17874,0.008911,0.008911,0.008911
13,6926.82,0.96616,0.5141,1.17239,0.87067,0.88102,0.91387,0.68364,0.99081,0.42888,1.18086,0.008812,0.008812,0.008812
14,7415.1,0.96033,0.50316,1.16709,0.89834,0.86807,0.89858,0.6697,0.98428,0.42013,1.16701,0.008713,0.008713,0.008713
15,7904.36,0.95516,0.49956,1.16564,0.82646,0.90471,0.89507,0.6702,0.97303,0.41312,1.17404,0.008614,0.008614,0.008614
16,8432.82,0.94808,0.49087,1.15933,0.89087,0.86732,0.91758,0.69878,0.96738,0.41072,1.16229,0.008515,0.008515,0.008515
17,8991.71,0.9406,0.48515,1.15399,0.90516,0.8657,0.90607,0.6877,0.96219,0.40084,1.15899,0.008416,0.008416,0.008416
18,9573.39,0.93601,0.47856,1.14532,0.922,0.84041,0.88236,0.67329,0.96719,0.4018,1.15889,0.008317,0.008317,0.008317
19,10147.1,0.93007,0.47583,1.14789,0.91325,0.88158,0.9128,0.69517,0.95861,0.39421,1.15449,0.008218,0.008218,0.008218
20,10715.5,0.92621,0.46916,1.14457,0.89087,0.88021,0.91164,0.69819,0.95197,0.39148,1.14848,0.008119,0.008119,0.008119
21,11246.3,0.92037,0.46488,1.14284,0.92591,0.86684,0.91641,0.69996,0.95232,0.39121,1.16248,0.00802,0.00802,0.00802
22,11807.7,0.91485,0.46164,1.13332,0.90057,0.89007,0.91917,0.7058,0.94611,0.38695,1.14037,0.007921,0.007921,0.007921
23,12371.1,0.9086,0.45567,1.12583,0.89735,0.86793,0.90441,0.69672,0.94356,0.38181,1.13702,0.007822,0.007822,0.007822
24,12900.3,0.90415,0.45344,1.12393,0.91793,0.87642,0.92552,0.71052,0.93972,0.37871,1.13364,0.007723,0.007723,0.007723
25,13431.1,0.90306,0.44768,1.12297,0.89512,0.89186,0.92617,0.70358,0.93698,0.37722,1.12968,0.007624,0.007624,0.007624
26,13959.1,0.89693,0.44675,1.11998,0.84707,0.91218,0.91331,0.69563,0.93232,0.37483,1.12586,0.007525,0.007525,0.007525
27,14484,0.89053,0.43986,1.11766,0.90631,0.90076,0.91821,0.70446,0.93103,0.37271,1.12989,0.007426,0.007426,0.007426
28,15011.9,0.88479,0.43807,1.11824,0.91434,0.89997,0.92422,0.71089,0.92857,0.37208,1.13526,0.007327,0.007327,0.007327
29,15539.1,0.88288,0.43538,1.11587,0.90381,0.89934,0.9189,0.71137,0.92188,0.36836,1.13049,0.007228,0.007228,0.007228
30,16065.2,0.8793,0.43115,1.11579,0.92591,0.89563,0.93505,0.71637,0.91792,0.36334,1.13079,0.007129,0.007129,0.007129
31,16592.7,0.87115,0.42745,1.106,0.89798,0.89889,0.92979,0.71208,0.91883,0.36192,1.12978,0.00703,0.00703,0.00703
32,17126.4,0.867,0.42181,1.10283,0.92197,0.89238,0.93257,0.71729,0.91588,0.35981,1.12483,0.006931,0.006931,0.006931
33,17692.8,0.86316,0.42085,1.10249,0.92562,0.89341,0.94179,0.72395,0.91479,0.35923,1.12369,0.006832,0.006832,0.006832
34,18268.1,0.85867,0.41711,1.10068,0.8992,0.90582,0.94093,0.72765,0.91185,0.35636,1.12405,0.006733,0.006733,0.006733
35,18857.7,0.8551,0.41657,1.09695,0.93007,0.89388,0.9394,0.73113,0.90691,0.35375,1.11973,0.006634,0.006634,0.006634
36,19424.3,0.85136,0.41012,1.08863,0.90286,0.91373,0.93651,0.72693,0.9054,0.35272,1.1161,0.006535,0.006535,0.006535
37,19980.6,0.84786,0.40993,1.09327,0.94116,0.87662,0.92814,0.72518,0.9041,0.35132,1.11474,0.006436,0.006436,0.006436
38,20551.5,0.84473,0.40883,1.09285,0.91976,0.89396,0.93024,0.72516,0.90202,0.35131,1.11541,0.006337,0.006337,0.006337
39,21126.6,0.83918,0.40604,1.08346,0.91178,0.90188,0.92781,0.72292,0.9006,0.35061,1.11384,0.006238,0.006238,0.006238
40,21689.3,0.83754,0.4027,1.08643,0.93679,0.88879,0.92984,0.72624,0.89859,0.34997,1.1127,0.006139,0.006139,0.006139
41,22234.1,0.83214,0.39982,1.08228,0.91039,0.90613,0.92993,0.72817,0.89678,0.3499,1.11122,0.00604,0.00604,0.00604
42,22752.2,0.82764,0.39739,1.07547,0.9363,0.88966,0.93056,0.72761,0.89491,0.34886,1.10913,0.005941,0.005941,0.005941
43,23272.5,0.82249,0.39345,1.07316,0.93124,0.89321,0.92891,0.72523,0.89354,0.34774,1.10791,0.005842,0.005842,0.005842
44,23818.3,0.82105,0.39307,1.07614,0.91284,0.91831,0.93327,0.72505,0.89147,0.34666,1.10674,0.005743,0.005743,0.005743
45,24358.9,0.81797,0.39115,1.07318,0.91652,0.91174,0.93206,0.72429,0.89002,0.3458,1.10611,0.005644,0.005644,0.005644
46,24875.8,0.81209,0.38677,1.06262,0.9194,0.91411,0.93406,0.728,0.88848,0.34483,1.10438,0.005545,0.005545,0.005545
47,25394.8,0.81004,0.38641,1.06687,0.91417,0.91762,0.93361,0.72785,0.88613,0.34393,1.10259,0.005446,0.005446,0.005446
48,25911.6,0.80492,0.38423,1.06552,0.91195,0.91872,0.93444,0.73054,0.8846,0.34349,1.10191,0.005347,0.005347,0.005347
49,26422.8,0.79929,0.38184,1.0621,0.91417,0.91744,0.93551,0.73151,0.88259,0.34285,1.10073,0.005248,0.005248,0.005248
50,26932.2,0.79888,0.37783,1.05724,0.91336,0.91707,0.9348,0.73218,0.88087,0.34287,1.09864,0.005149,0.005149,0.005149
51,27445.8,0.79719,0.37634,1.05841,0.91531,0.9162,0.93488,0.7304,0.87928,0.34243,1.0974,0.00505,0.00505,0.00505
52,28026.6,0.79148,0.37635,1.0576,0.91783,0.91577,0.93503,0.73135,0.87821,0.34157,1.09673,0.004951,0.004951,0.004951
53,28605.3,0.78962,0.37456,1.05353,0.91857,0.91383,0.93587,0.73232,0.87639,0.34119,1.09533,0.004852,0.004852,0.004852
54,29186.9,0.78282,0.37,1.05252,0.92161,0.90962,0.93598,0.73183,0.87505,0.34017,1.09451,0.004753,0.004753,0.004753
55,474.662,0.7829,0.36537,1.05306,0.92256,0.90857,0.93534,0.73199,0.87438,0.33985,1.09437,0.004654,0.004654,0.004654
56,946.174,0.78828,0.37125,1.05915,0.93883,0.89113,0.93231,0.73226,0.87393,0.33953,1.09461,0.004555,0.004555,0.004555
57,1396.91,0.78774,0.37007,1.05152,0.93698,0.89233,0.93211,0.73205,0.87295,0.33871,1.09416,0.004456,0.004456,0.004456
58,1881.58,0.78,0.36846,1.0503,0.92974,0.8934,0.92957,0.73376,0.87179,0.33836,1.09332,0.004357,0.004357,0.004357
59,2373.35,0.77813,0.36534,1.04965,0.92935,0.8942,0.92746,0.73404,0.87073,0.33734,1.09288,0.004258,0.004258,0.004258
60,2846.53,0.77692,0.36458,1.0527,0.93002,0.89421,0.93137,0.73478,0.86964,0.33699,1.09249,0.004159,0.004159,0.004159
61,3332.02,0.77274,0.36245,1.04881,0.93065,0.89413,0.93125,0.73609,0.86822,0.33625,1.09189,0.00406,0.00406,0.00406
